id,subject,name,difficulty,prerequisites
1,Python Programming,Variables & Data Types,easy,[]
2,Python Programming,Control Flow & Loops,easy,[1]
3,Python Programming,Functions & Modules,medium,[2]
4,Python Programming,Object-Oriented Programming,medium,[3]
5,Python Programming,AsyncIO & Concurrency,hard,[4]
6,Mathematics for ML,Linear Algebra Basics,easy,[]
7,Mathematics for ML,Matrix Operations & Vectors,medium,[6]
8,Mathematics for ML,Calculus & Derivatives,medium,[]
9,Mathematics for ML,Gradient & Partial Derivatives,hard,[8]
10,Mathematics for ML,Probability & Statistics,medium,[]
11,Machine Learning,Linear Regression,easy,"[2, 7]"
12,Machine Learning,Logistic Regression,medium,"[9, 11]"
13,Machine Learning,Decision Trees & Random Forests,medium,[12]
14,Machine Learning,Support Vector Machines,hard,"[7, 12]"
15,Machine Learning,Model Evaluation & Cross-Validation,medium,[11]
16,Deep Learning & NLP,Neural Networks & Backpropagation,hard,"[9, 12]"
17,Deep Learning & NLP,Convolutional Neural Networks,hard,[16]
18,Deep Learning & NLP,Recurrent Neural Networks & LSTM,hard,[16]
19,Deep Learning & NLP,TF-IDF & Text Embeddings,medium,"[10, 11]"
20,Deep Learning & NLP,Transformers & Attention Mechanism,hard,"[16, 19]"
